libseccomp2:amd64	2.2.3-3ubuntu3
libselinux1:amd64	2.4-3build2
libselinux1:i386	2.4-3build2
libsemanage-common	2.3-1build3
libsemanage1:amd64	2.3-1build3
libsepol1:amd64	2.4-2
libserf-1-1:amd64	1.3.8-1
libsfasan2-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libsfatomic1-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libsfgcc-5-dev-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libsfgcc1-armhf-cross	1:5.4.0-6ubuntu1~16.04.1cross1
libsfgomp1-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libsfstdc++-5-dev-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libsfstdc++6-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libsfubsan0-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libslang2:amd64	2.3.0-2ubuntu1
libsm-dev:amd64	2:1.2.2-1
libsmartcols1:amd64	2.27.1-6ubuntu3.1
libspeechd-dev	0.8.3-1ubuntu3
libsqlite3-0:amd64	3.11.0-1ubuntu1
libsqlite3-0:i386	3.11.0-1ubuntu1
libsqlite3-0-dbg	3.11.0-1ubuntu1
libsqlite3-dev:amd64	3.11.0-1ubuntu1
libss2:amd64	1.42.13-1ubuntu1
libssl-dev:amd64	1.0.2g-1ubuntu4.4
libssl-doc	1.0.2g-1ubuntu4.4
libssl1.0.0:amd64	1.0.2g-1ubuntu4.4
libssl1.0.0:i386	1.0.2g-1ubuntu4.4
libstdc++-4.9-dev:amd64	4.9.3-13ubuntu2
libstdc++-5-dev-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libstdc++6:amd64	5.4.0-6ubuntu1~16.04.2
libstdc++6:i386	5.4.0-6ubuntu1~16.04.2
libstdc++6-4.9-dbg:amd64	4.9.3-13ubuntu2
libstdc++6-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libsvn-perl	1.9.3-2ubuntu1
libsvn1:amd64	1.9.3-2ubuntu1
libsys-hostname-long-perl	1.5-1
libsystemd0:amd64	229-4ubuntu8
libsystemd0:i386	229-4ubuntu8
libtasn1-6:amd64	4.7-3ubuntu0.16.04.1
libtasn1-6:i386	4.7-3ubuntu0.16.04.1
libterm-readkey-perl	2.33-1build1
libtext-charwidth-perl	0.04-7build5
libtext-iconv-perl	1.7-5build4
libtext-unidecode-perl	1.27-1
libtext-wrapi18n-perl	0.06-7.1
libthai0:i386	0.1.24-2
libtinfo-dev:amd64	6.0+20160213-1ubuntu1
libtinfo-dev:i386	6.0+20160213-1ubuntu1
libtinfo5:amd64	6.0+20160213-1ubuntu1
libtinfo5:i386	6.0+20160213-1ubuntu1
libtool	2.4.6-0.1
libubsan0-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libudev-dev:amd64	229-4ubuntu8
libudev1:amd64	229-4ubuntu8
libudev1:i386	229-4ubuntu8
libusb-0.1-4:amd64	2:0.1.12-28
libustr-1.0-1:amd64	1.0.4-5
libuuid1:amd64	2.27.1-6ubuntu3.1
libuuid1:i386	2.27.1-6ubuntu3.1
libwayland-dev	1.9.0-1
libx11-6-dbg:amd64	2:1.6.3-1ubuntu2
libx11-dev:amd64	2:1.6.3-1ubuntu2
libx11-doc	2:1.6.3-1ubuntu2
libx11-xcb-dev:amd64	2:1.6.3-1ubuntu2
libx11-xcb1-dbg:amd64	2:1.6.3-1ubuntu2
libx32asan2	5.4.0-6ubuntu1~16.04.2
libx32atomic1	5.4.0-6ubuntu1~16.04.2
libx32cilkrts5	5.4.0-6ubuntu1~16.04.2
libx32gcc-5-dev	5.4.0-6ubuntu1~16.04.2
libx32gcc1	1:6.0.1-0ubuntu1
libx32gomp1	5.4.0-6ubuntu1~16.04.2
libx32itm1	5.4.0-6ubuntu1~16.04.2
libx32quadmath0	5.4.0-6ubuntu1~16.04.2
libx32stdc++-5-dev	5.4.0-6ubuntu1~16.04.2
libx32stdc++6	5.4.0-6ubuntu1~16.04.2
libx32ubsan0	5.4.0-6ubuntu1~16.04.2
libxau-dev:amd64	1:1.0.8-1
libxau6-dbg:amd64	1:1.0.8-1
libxcb-dri2-0-dev:amd64	1.11.1-1ubuntu1
libxcb-dri3-dev:amd64	1.11.1-1ubuntu1
libxcb-glx0-dev:amd64	1.11.1-1ubuntu1
libxcb-present-dev:amd64	1.11.1-1ubuntu1
libxcb-randr0-dev:amd64	1.11.1-1ubuntu1
libxcb-render0:i386	1.11.1-1ubuntu1
libxcb-render0-dev:amd64	1.11.1-1ubuntu1
libxcb-shape0-dev:amd64	1.11.1-1ubuntu1
libxcb-shm0:i386	1.11.1-1ubuntu1
libxcb-shm0-dev:amd64	1.11.1-1ubuntu1
libxcb-sync-dev:amd64	1.11.1-1ubuntu1
libxcb-xfixes0-dev:amd64	1.11.1-1ubuntu1
libxcb1-dbg:amd64	1.11.1-1ubuntu1
libxcb1-dev:amd64	1.11.1-1ubuntu1
libxcomposite-dev	1:0.4.4-1
libxcomposite1:i386	1:0.4.4-1
libxcomposite1-dbg:amd64	1:0.4.4-1
libxcursor-dev:amd64	1:1.1.14-1
libxcursor1:i386	1:1.1.14-1
libxcursor1-dbg:amd64	1:1.1.14-1
libxdamage-dev:amd64	1:1.1.4-2
libxdamage1-dbg:amd64	1:1.1.4-2
libxdmcp-dev:amd64	1:1.1.2-1.1
libxdmcp6-dbg:amd64	1:1.1.2-1.1
libxext-dev:amd64	2:1.3.3-1
libxext6-dbg:amd64	2:1.3.3-1
libxfixes-dev:amd64	1:5.0.1-2
libxfixes3-dbg:amd64	1:5.0.1-2
libxft-dev	2.3.2-1
libxft2:i386	2.3.2-1
libxi-dev	2:1.7.6-1
libxi6-dbg:amd64	2:1.7.6-1
libxinerama-dev:amd64	2:1.1.3-1
libxinerama1:i386	2:1.1.3-1
libxinerama1-dbg:amd64	2:1.1.3-1
libxkbcommon-dev	0.5.0-1ubuntu2
libxml2-dev:amd64	2.9.3+dfsg1-1ubuntu0.1
libxml2-utils	2.9.3+dfsg1-1ubuntu0.1
libxrandr-dev:amd64	2:1.5.0-1
libxrandr2:i386	2:1.5.0-1
libxrandr2-dbg:amd64	2:1.5.0-1
libxrender-dev:amd64	1:0.9.9-0ubuntu1
libxrender1-dbg:amd64	1:0.9.9-0ubuntu1
